metric,lower_is_better,eval_set,arm,label,n,mean,ci_lo,ci_hi
gdt_ts,0,eval-val,mf_L5,"Helico + MarinFold, top-L/5",95,0.3835659678481491,0.32989798712909085,0.4364197965569442
gdt_ts,0,eval-val,mf_L2,"Helico + MarinFold, top-L/2",95,0.4433237691163006,0.3842377376226466,0.5028705283577997
gdt_ts,0,eval-val,mf_L,"Helico + MarinFold, top-L",95,0.478972288217796,0.4178448937108343,0.5399387038447371
gdt_ts,0,eval-val,v2ss,Helico + Protenix-v2 single-seq contacts,95,0.16993441512913807,0.1316086027567488,0.21147930396628492
gdt_ts,0,eval-val,v2msa,Helico + Protenix-v2 +MSA contacts,95,0.819115987412647,0.7818346802201624,0.8540616090019832
gdt_ts,0,eval-val,oracle,Helico + oracle contacts,95,0.8936937137698916,0.8671849146398659,0.9162907133316892
gdt_ts,0,eval-val,protenix_v2_single_seq,"Protenix v2, single sequence",95,0.17303097894736844,0.13345492578947368,0.21606227236842104
gdt_ts,0,eval-val,protenix_v2_msa,Protenix v2 + MSA,95,0.8594018105263158,0.8218171755263158,0.8939806255263159
gdt_ts,0,eval-test,off,"Helico, no contacts",210,0.1501874860326106,0.12606730274356404,0.17577971896333597
gdt_ts,0,eval-test,mf_L5,"Helico + MarinFold, top-L/5",210,0.38378496898122416,0.3494006405040283,0.4177519821863356
gdt_ts,0,eval-test,mf_L2,"Helico + MarinFold, top-L/2",210,0.4453995955355672,0.4077785754635399,0.481976731910699
gdt_ts,0,eval-test,mf_L,"Helico + MarinFold, top-L",210,0.4793048037484057,0.4407262513895598,0.5170479980923947
gdt_ts,0,eval-test,v2ss,Helico + Protenix-v2 single-seq contacts,210,0.17213165187023083,0.1430024486576345,0.2035760011624073
gdt_ts,0,eval-test,v2msa,Helico + Protenix-v2 +MSA contacts,210,0.8307105762089751,0.8074368643160431,0.8528990077054759
gdt_ts,0,eval-test,oracle,Helico + oracle contacts,210,0.8930670238031924,0.875320629081776,0.9085976913419566
gdt_ts,0,eval-test,protenix_v2_single_seq,"Protenix v2, single sequence",210,0.1738293619047619,0.1445000035714286,0.2055920832142857
gdt_ts,0,eval-test,protenix_v2_msa,Protenix v2 + MSA,210,0.8725858333333333,0.8491726035714287,0.8943932471428571
gdt_ts,0,eval-denovo,off,"Helico, no contacts",19,0.8593680885572915,0.7925919047041,0.9124063737418373
gdt_ts,0,eval-denovo,mf_L5,"Helico + MarinFold, top-L/5",19,0.8555064382161798,0.8003130013455207,0.9039958944392845
gdt_ts,0,eval-denovo,mf_L2,"Helico + MarinFold, top-L/2",19,0.7642446772463486,0.6528655977113075,0.860809696486064
gdt_ts,0,eval-denovo,mf_L,"Helico + MarinFold, top-L",19,0.7612709102946227,0.642773220091415,0.8593561201340785
gdt_ts,0,eval-denovo,v2ss,Helico + Protenix-v2 single-seq contacts,19,0.8759039902261684,0.8292743377101381,0.9168546181619489
gdt_ts,0,eval-denovo,v2msa,Helico + Protenix-v2 +MSA contacts,19,0.849667152511128,0.7574358984177507,0.9137566138533205
gdt_ts,0,eval-denovo,oracle,Helico + oracle contacts,19,0.9203510089893624,0.8867523706733316,0.947307733741591
gdt_ts,0,eval-denovo,protenix_v2_single_seq,"Protenix v2, single sequence",19,0.891571052631579,0.850691947368421,0.9270356618421053
gdt_ts,0,eval-denovo,protenix_v2_msa,Protenix v2 + MSA,19,0.859980052631579,0.7701122802631578,0.9222097644736844
gdt_ts,0,all-natural,off,"Helico, no contacts",305,0.14563454239730386,0.12571390819907216,0.16673149652343175
gdt_ts,0,all-natural,mf_L5,"Helico + MarinFold, top-L/5",305,0.38371675551354506,0.3545477248653977,0.4127046577587376
gdt_ts,0,all-natural,mf_L2,"Helico + MarinFold, top-L/2",305,0.4447530266508777,0.41319971926255,0.4762958464962188
gdt_ts,0,all-natural,mf_L,"Helico + MarinFold, top-L",305,0.4792012333372323,0.4469818580479437,0.5115846932328041
gdt_ts,0,all-natural,v2ss,Helico + Protenix-v2 single-seq contacts,305,0.1714472666557921,0.14804752967314305,0.19651917365889476
gdt_ts,0,all-natural,v2msa,Helico + Protenix-v2 +MSA contacts,305,0.8270991469117581,0.8067827738273596,0.8459359309701414
gdt_ts,0,all-natural,oracle,Helico + oracle contacts,305,0.8932622223174103,0.8787997990716738,0.9064548196576422
gdt_ts,0,all-natural,protenix_v2_single_seq,"Protenix v2, single sequence",305,0.17358068524590162,0.1500453975409836,0.1990498654098361
gdt_ts,0,all-natural,protenix_v2_msa,Protenix v2 + MSA,305,0.8684793344262295,0.8481613454918033,0.8868682491803278
gdt_ts,0,all,off,"Helico, no contacts",324,0.18748928738816734,0.16094730879053018,0.21537868769207372
gdt_ts,0,all,mf_L5,"Helico + MarinFold, top-L/5",324,0.411383434437465,0.38082724697617526,0.44159971944933235
gdt_ts,0,all,mf_L2,"Helico + MarinFold, top-L/2",324,0.46348864813641455,0.4314655007786723,0.4955025123147492
gdt_ts,0,all,mf_L,"Helico + MarinFold, top-L",324,0.49574235636868413,0.46248447940131554,0.5276112267475292
gdt_ts,0,all,v2ss,Helico + Protenix-v2 single-seq contacts,324,0.21275800044541293,0.18365713434535788,0.24241551283244916
gdt_ts,0,all,v2msa,Helico + Protenix-v2 +MSA contacts,324,0.8284225793388816,0.8090649036059752,0.8469498157800472
gdt_ts,0,all,oracle,Helico + oracle contacts,324,0.8948507622765678,0.8809763881619627,0.9074245600558156
gdt_ts,0,all,protenix_v2_single_seq,"Protenix v2, single sequence",324,0.2156850586419753,0.18582414729938274,0.24572172075617282
gdt_ts,0,all,protenix_v2_msa,Protenix v2 + MSA,324,0.8679809197530864,0.8487010472993828,0.8861342977623456
rmsd,1,eval-val,off,"Helico, no contacts",95,9.112905418868369,8.416824773556467,9.808658625464176
rmsd,1,eval-val,mf_L5,"Helico + MarinFold, top-L/5",95,5.708696831968751,4.885195399724778,6.593896507397357
rmsd,1,eval-val,mf_L2,"Helico + MarinFold, top-L/2",95,5.119925216873937,4.350584024508015,5.940445465542337
rmsd,1,eval-val,mf_L,"Helico + MarinFold, top-L",95,4.920486452811132,4.07321108203912,5.869509247107559
rmsd,1,eval-val,v2ss,Helico + Protenix-v2 single-seq contacts,95,8.403324927010193,7.718930251001477,9.078581138789023
rmsd,1,eval-val,v2msa,Helico + Protenix-v2 +MSA contacts,95,1.3707481792111371,1.1609482509077342,1.6063133349821659
rmsd,1,eval-val,oracle,Helico + oracle contacts,95,0.9656492951333444,0.8011059138674196,1.1669292327829168
rmsd,1,eval-val,protenix_v2_single_seq,"Protenix v2, single sequence",95,8.330758894736842,7.647387968157896,9.009002751578949
rmsd,1,eval-val,protenix_v2_msa,Protenix v2 + MSA,95,1.1424093368421053,0.9408518665789471,1.3677808686842106
rmsd,1,eval-test,off,"Helico, no contacts",210,9.452517756222152,8.708028878398272,10.356905809305527
rmsd,1,eval-test,mf_L5,"Helico + MarinFold, top-L/5",210,5.3721758082387385,4.909514327331385,5.862109891856034
rmsd,1,eval-test,mf_L2,"Helico + MarinFold, top-L/2",210,4.722072493406245,4.255983129049198,5.219645633213286
rmsd,1,eval-test,mf_L,"Helico + MarinFold, top-L",210,4.361238037506233,3.898688060539919,4.838025816759784
rmsd,1,eval-test,v2ss,Helico + Protenix-v2 single-seq contacts,210,8.718317949531587,8.202131968439664,9.225506923193421
rmsd,1,eval-test,v2msa,Helico + Protenix-v2 +MSA contacts,210,1.3398550121753618,1.1494981056272349,1.5534107783798838
rmsd,1,eval-test,oracle,Helico + oracle contacts,210,0.9490558169378223,0.8068504490699949,1.1247895300658473
rmsd,1,eval-test,protenix_v2_single_seq,"Protenix v2, single sequence",210,8.67169159047619,8.165573984880952,9.174605346309523
rmsd,1,eval-test,protenix_v2_msa,Protenix v2 + MSA,210,1.132686,0.9546184460714285,1.3396401847619048
rmsd,1,eval-denovo,off,"Helico, no contacts",19,1.0239020841463755,0.6853506078916496,1.4877606215869248
rmsd,1,eval-denovo,mf_L5,"Helico + MarinFold, top-L/5",19,0.9165851001264445,0.7121292797929069,1.161726826486171
rmsd,1,eval-denovo,mf_L2,"Helico + MarinFold, top-L/2",19,1.6739662134312312,0.969323345401509,2.512230828101212
rmsd,1,eval-denovo,mf_L,"Helico + MarinFold, top-L",19,1.6736092261828754,0.9381012152729581,2.6284176504074432
rmsd,1,eval-denovo,v2ss,Helico + Protenix-v2 single-seq contacts,19,0.8513902201284836,0.6663281732174406,1.0558093978200305
rmsd,1,eval-denovo,v2msa,Helico + Protenix-v2 +MSA contacts,19,1.1118113348019276,0.6852206825148356,1.7990527761075656
rmsd,1,eval-denovo,oracle,Helico + oracle contacts,19,0.7273878364599637,0.5514745365171658,0.9592220246551644
rmsd,1,eval-denovo,protenix_v2_single_seq,"Protenix v2, single sequence",19,0.7915848421052631,0.6361903250000001,0.9670303684210526
rmsd,1,eval-denovo,protenix_v2_msa,Protenix v2 + MSA,19,1.0733652631578945,0.6650389223684211,1.743467613157894
rmsd,1,all-natural,off,"Helico, no contacts",305,9.346736864259498,8.77349242889529,10.007748196507956
rmsd,1,all-natural,mf_L5,"Helico + MarinFold, top-L/5",305,5.476993832023497,5.060548795809925,5.908832450488115
rmsd,1,all-natural,mf_L2,"Helico + MarinFold, top-L/2",305,4.84599383350274,4.43790682228354,5.26682720708159
rmsd,1,all-natural,mf_L,"Helico + MarinFold, top-L",305,4.535430166863496,4.114089815316021,4.9712105685743495
rmsd,1,all-natural,v2ss,Helico + Protenix-v2 single-seq contacts,305,8.620205368746234,8.199538702393282,9.033062650094307
rmsd,1,all-natural,v2msa,Helico + Protenix-v2 +MSA contacts,305,1.3494774740389637,1.2019715325432379,1.5170153231896133
rmsd,1,all-natural,oracle,Helico + oracle contacts,305,0.9542242773593784,0.8411190677699983,1.0882861191349935
rmsd,1,all-natural,protenix_v2_single_seq,"Protenix v2, single sequence",305,8.565499439344263,8.149356491311476,8.974890681639343
rmsd,1,all-natural,protenix_v2_msa,Protenix v2 + MSA,305,1.135714580327869,0.9958694709016394,1.2915250653278687
rmsd,1,all,off,"Helico, no contacts",324,8.858669392586197,8.29146524033162,9.531266964569765
rmsd,1,all,mf_L5,"Helico + MarinFold, top-L/5",324,5.209562455770275,4.796200481476848,5.640341377460366
rmsd,1,all,mf_L2,"Helico + MarinFold, top-L/2",324,4.659979868128175,4.264228248172867,5.077775083004664
rmsd,1,all,mf_L,"Helico + MarinFold, top-L",324,4.367607333922348,3.964258679947525,4.802315479948826
rmsd,1,all,v2ss,Helico + Protenix-v2 single-seq contacts,324,8.164626702623586,7.724964380541155,8.603715282648784
rmsd,1,all,v2msa,Helico + Protenix-v2 +MSA contacts,324,1.3355402621701256,1.1892026364088073,1.4948921162695803
rmsd,1,all,oracle,Helico + oracle contacts,324,0.9409221403930547,0.8340529198981956,1.0680839304340635
rmsd,1,all,protenix_v2_single_seq,"Protenix v2, single sequence",324,8.109621731481482,7.674458969058642,8.546524976157407
rmsd,1,all,protenix_v2_msa,Protenix v2 + MSA,324,1.1320582932098764,0.9935731735339507,1.2856350744598766
