stem,L,recipe,n_label,n_requested,n_got,n_true,precision,recall
8amo_A,399,rollout,L/2,199,199,362,0.8844221105527639,0.4861878453038674
8amo_A,399,rollout,L,399,399,362,0.6691729323308271,0.7375690607734806
8amo_A,399,single,L/5,79,79,362,0.5316455696202531,0.11602209944751381
8amo_A,399,single,L/2,199,199,362,0.5628140703517588,0.30939226519337015
8amo_A,399,single,L,399,370,362,0.5432432432432432,0.5552486187845304
8arl_A,246,rollout,L/5,49,49,260,0.16326530612244897,0.03076923076923077
8arl_A,246,rollout,L/2,123,123,260,0.11382113821138211,0.05384615384615385
8arl_A,246,rollout,L,246,246,260,0.0975609756097561,0.09230769230769231
8arl_A,246,single,L/5,49,49,260,0.0,0.0
8arl_A,246,single,L/2,123,89,260,0.011235955056179775,0.0038461538461538464
8arl_A,246,single,L,246,89,260,0.011235955056179775,0.0038461538461538464
8au6_A,321,rollout,L/5,64,64,168,0.328125,0.125
8au6_A,321,rollout,L/2,160,160,168,0.25625,0.24404761904761904
8au6_A,321,rollout,L,321,321,168,0.1838006230529595,0.35119047619047616
8au6_A,321,single,L/5,64,64,168,0.0625,0.023809523809523808
8au6_A,321,single,L/2,160,160,168,0.06875,0.06547619047619048
8au6_A,321,single,L,321,220,168,0.06363636363636363,0.08333333333333333
8axj_A,162,rollout,L/5,32,32,143,1.0,0.22377622377622378
8axj_A,162,rollout,L/2,81,81,143,0.9753086419753086,0.5524475524475524
8axj_A,162,rollout,L,162,162,143,0.7160493827160493,0.8111888111888111
8axj_A,162,single,L/5,32,32,143,0.71875,0.16083916083916083
8axj_A,162,single,L/2,81,81,143,0.7037037037037037,0.3986013986013986
8axj_A,162,single,L,162,149,143,0.7046979865771812,0.7342657342657343
8azb_A,521,rollout,L/5,104,104,587,0.9903846153846154,0.17546848381601363
8azb_A,521,rollout,L/2,260,260,587,0.9423076923076923,0.41737649063032367
8azb_A,521,rollout,L,521,521,587,0.8061420345489443,0.7155025553662692
8azb_A,521,single,L/5,104,104,587,0.6153846153846154,0.10902896081771721
8azb_A,521,single,L/2,260,260,587,0.6307692307692307,0.27938671209540034
8azb_A,521,single,L,521,521,587,0.6180422264875239,0.5485519591141397
